 framenumber,eulers.phi, eulers.theta, eulers.psi, euler_rates.phi_dot, euler_rates.theta_dot, euler_rates.psi_dot, rates.X, rates.Y, rates.Z, accels.X, accels.Y, accels.Z,sin
905,-0.022533,-0.127773,0.276092,0.0314169,-0.00593983,-0.00964831,0.0301875,-0.0057227,-0.00970106,0.096775,0.00111541,0.959106,-0.962058265
906,-0.0221973,-0.127833,0.275983,0.0333433,-0.00593893,-0.0108776,0.0319566,-0.005698,-0.010918,0.088139,0.000370905,0.96647,-0.957590975
907,-0.0218816,-0.127891,0.27586,0.0311405,-0.00570653,-0.0120678,0.0296013,-0.00544328,-0.0120912,0.0917386,-0.00325954,0.970172,-0.952880793
908,-0.0215945,-0.127951,0.275714,0.0288106,-0.00603376,-0.0146716,0.0269385,-0.00571815,-0.0146785,0.0889051,-0.00340997,0.971764,-0.947928913
909,-0.0213601,-0.127998,0.275539,0.0234753,-0.00469415,-0.0175597,0.0212338,-0.0043211,-0.0175124,0.0892075,-0.0111172,0.979354,-0.942736592
910,-0.0211471,-0.128103,0.27535,0.0205906,-0.0101708,-0.0182813,0.0182551,-0.00978508,-0.0183425,0.0936687,-0.0119298,0.975287,-0.937305147
911,-0.0209634,-0.128104,0.275173,0.0187106,-1.00E-04,-0.0180028,0.0164106,0.00027433,-0.0178535,0.0865429,-0.00649539,0.991218,-0.931635955
912,-0.0207499,-0.128136,0.27499,0.0213172,-0.00314837,-0.0182965,0.0189792,-0.00277118,-0.0182079,0.0916916,-0.00572769,0.969577,-0.925730454
913,-0.0204991,-0.128197,0.274798,0.0249355,-0.00602774,-0.0190531,0.0224996,-0.00563914,-0.0190163,0.094211,-0.00624485,0.962096,-0.919590143
914,-0.0202243,-0.12831,0.274621,0.027355,-0.0112683,-0.0175822,0.0251052,-0.0109134,-0.017662,0.0956317,-0.0152993,0.955056,-0.913216578
915,-0.0199687,-0.128427,0.274434,0.0253881,-0.0115906,-0.0185933,0.0230068,-0.01122,-0.0186679,0.0891238,-0.0112435,0.961753,-0.906611376
916,-0.0197284,-0.128537,0.274231,0.0239594,-0.0110105,-0.0202699,0.0213611,-0.0106118,-0.0203159,0.0876386,-0.0105219,0.96668,-0.899776214
917,-0.0195075,-0.12858,0.274015,0.0215749,-0.00418153,-0.0210999,0.0188693,-0.00377255,-0.0210033,0.0883489,-0.0127827,0.974994,-0.892712823
918,-0.019312,-0.128593,0.273788,0.0198658,-0.00135745,-0.0230857,0.0169053,-0.000915078,-0.022917,0.0983893,-0.00617201,0.973901,-0.885422997
919,-0.0190874,-0.128705,0.273548,0.0224187,-0.0111133,-0.0239585,0.0193437,-0.0106578,-0.0239681,0.0859098,-0.00400043,0.954468,-0.877908584
920,-0.0188504,-0.128825,0.273308,0.0235811,-0.0119645,-0.0238537,0.0205166,-0.0115165,-0.0238774,0.0880652,-0.00580386,0.949529,-0.870171491
921,-0.0185953,-0.128936,0.273062,0.0249907,-0.0108348,-0.024117,0.0218898,-0.0103882,-0.0241141,0.0951008,-0.00973204,0.953822,-0.862213679
